brand,brand_rank,model,diameter_mm,thickness_mm,lug_to_lug_mm,caliber,price_tier,market_momentum,data_confidence,production_status,source_file
Vacheron Constantin,4,Overseas Self-winding,34.5/41,9.3/10.69,≈42/49,1088/1 / 5100,15k_plus,insider_hype,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Overseas Dual Time / Chronograph,41/42.5,12/13.7,≈49/52,5110 DT/5200,15k_plus,insider_hype,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Overseas Ultra-Thin / Perpetual,40/41.5,7.5/8.1,≈48/50,1120/1120 QP,15k_plus,insider_hype,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Patrimony,36.5–42.5,6.7–8.6,≈42–49,1440/2450/2460,15k_plus,evergreen,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Traditionnelle,38–41,7.8–11.6,≈46–49,4400/2455/2460,15k_plus,evergreen,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Historiques American 1921,36.5 / 40×40,7.4/8.06,≈41/≈46,4400 AS,15k_plus,insider_hype,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Historiques Cornes de Vache,38.5,10.9,≈47,1142,15k_plus,insider_hype,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Égérie,35/37,9.3–11.95,≈41–44,1088/1 / 1088 L,15k_plus,contrarian,набл.,active,vacheron-constantin.md
Vacheron Constantin,4,Métiers d’Art / Les Cabinotiers,≈40–47,"10,7 (https://www.vacheron-constantin.com/us/en/collections/metiers-d-art/6007a-000g-h047.html); 14,99 (https://www.hodinkee.com/articles/introducing-vacheron-constantin-les-cabinotiers-2025)",≈46; ≈52,мануфактурные сложные,15k_plus,insider_hype,смеш.,active,vacheron-constantin.md
Cartier,5,Tank Must,29.5×22 / 33.7×25.5 / 41.6×31.7,6.6/6.6/8.4,≈29.5/33.7/41.6,кварц / 1847 MC,2k_5k,macro_trend,набл.,active,cartier.md
Cartier,5,Santos-Dumont,31.4×43.5 / 33.9×46.6 / 33.9×46.6,7.3/7.5/9.4,43.5/46.6,кварц / 430 MC,2k_5k,evergreen,набл.,active,cartier.md
Cartier,5,Panthère,25×19 / 30.3×22 / 36.5×27,6–7,≈25–36.5,кварц,2k_5k,macro_trend,набл.,active,cartier.md
Cartier,5,Santos de Cartier,35.1×41.9 / 39.8×47.5,8.8/9.4,41.9/47.5,1847 MC,5k_10k,macro_trend,набл.,active,cartier.md
Cartier,5,Ballon Bleu,28–42,9.4–13,≈34–49,кварц / 1847 MC,5k_10k,evergreen,набл.,active,cartier.md
Cartier,5,Pasha,30/35/41,9–12.4,≈36–48,кварц / 1847 MC / 1904-CH MC,5k_10k,contrarian,набл.,active,cartier.md
Cartier,5,Baignoire,24.6×18.7 – 44×34,7–8,≈25–44,кварц,5k_10k,insider_hype,набл.,active,cartier.md
Cartier,5,Tank Louis Cartier,29.5×22 / 33.7×25.5 / 40.4×34.9,6.3–9.1,≈29.5–40.4,кварц / 1917 MC / 1899 MC,10k_15k,evergreen,набл.,active,cartier.md
Cartier,5,Clé / Coussin / Privé,≈31–43,"10,7 (https://watch.the1916company.com/videos/cartier-cle-de-cartier-automatic-wgcl0006-cartier-watch-review); 7,1 (https://www.cartier.com/en-sa/watches/collections/coussin-de-cartier/coussin-de-cartier-watch-CRWJCS0013.html); 7,7 (https://wristbuzz.com/watch-dimensions/cartier/)","44,4 (https://watch.the1916company.com/videos/cartier-cle-de-cartier-automatic-wgcl0006-cartier-watch-review); 31,1 (https://www.cartier.com/en-sa/watches/collections/coussin-de-cartier/coussin-de-cartier-watch-CRWJCS0013.html); 39,6 (https://wristbuzz.com/watch-dimensions/cartier/)",кварц/мануфактурные,15k_plus,insider_hype,набл.,active,cartier.md
Omega,6,Constellation,25/28/29/36/39/41,≈8–13,≈30–48,кварц/8700/8900,2k_5k,contrarian,набл.,active,omega.md
Omega,6,De Ville Prestige / Trésor / Hour Vision,27.5–44,≈7.7–16,≈33–51,кварц/8800/8926/9300,2k_5k,contrarian,набл.,active,omega.md
Omega,6,Speedmaster Moonwatch Professional,42,13.2,47.5,3861,5k_10k,evergreen,набл.,active,omega.md
Omega,6,Speedmaster 38,38,14.7,≈44.9,3330,5k_10k,contrarian,набл.,active,omega.md
Omega,6,Speedmaster ’57 / Racing / Dark Side,40.5/44.25,12.99–16,≈49–51,9906/9900,5k_10k,contrarian,набл.,active,omega.md
Omega,6,Seamaster Diver 300M,42,13.6,49.9,8800,5k_10k,evergreen,набл.,active,omega.md
Omega,6,Seamaster 300,41,13.85,48,8912,5k_10k,evergreen,набл.,active,omega.md
Omega,6,Planet Ocean 600M,39.5/43.5/45.5,14.2–18.9,≈45.6–52,8800/8900/9900,5k_10k,contrarian,набл.,active,omega.md
Omega,6,Aqua Terra 150M,28/30/34/38/41/43 Worldtimer,≈9.7–14.1,≈33–50,кварц/8800/8900/8938,5k_10k,evergreen,набл.,active,omega.md
Omega,6,Seamaster PloProf,55×48,15.5,≈55,8912,10k_15k,contrarian,набл.,active,omega.md
Jaeger-LeCoultre,7,Reverso Classic Monoface,35.8×21 – 45.6×27.4,7.4–8.5,35.8–45.6,846/854,5k_10k,evergreen,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Reverso Tribute,40.1×24.4 – 49.4×29.9,7.6–11.1,40.1–49.4,822/854/860,5k_10k,insider_hype,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Master Control Date / Calendar / Chronograph,40,8.78–12.05,≈47,899/866/759,5k_10k,evergreen,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Reverso Classic Duoface,42.9×25.5 / 47×28.3,9.2–10.3,42.9/47,854/100A,10k_15k,evergreen,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Master Ultra Thin,39–41.5,7.8–10.95,≈46–48,925/868/978,10k_15k,evergreen,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Polaris Automatic / Date / Chronograph / Geographic,41–42,11.2–13.9,≈47.5–49,898/899/761/939,10k_15k,contrarian,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Rendez-Vous,29/34/36/38.2,≈9–13.1,≈34–44,967/898 и сложные,10k_15k,contrarian,набл.,active,jaeger-lecoultre.md
Jaeger-LeCoultre,7,Duomètre / Hybris Mechanica,39–45,≈9.6–20,≈47–53,собственные сложные,15k_plus,insider_hype,оц.класс,active,jaeger-lecoultre.md
A. Lange & Söhne,8,Lange 1 / Little Lange 1,38.5/36.8,9.8/9.5,≈47/≈44,L121.1,15k_plus,evergreen,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Grand Lange 1,41,8.2–9.5,≈49,L095.1,15k_plus,contrarian,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Lange 1 Time Zone / Perpetual Calendar,41.9/41.9,10.9/12.1,≈50,L141.1/L021.3,15k_plus,insider_hype,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Saxonia Thin,37/39/40,5.9–6.2,≈43–47,L093.1,15k_plus,contrarian,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Saxonia Automatic / Outsize Date / Annual Calendar,38.5–40,7.8–9.8,≈46–48,L086/L085,15k_plus,contrarian,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,1815 / 1815 Up/Down,38.5/39,8.8,≈46,L051/L051.2,15k_plus,evergreen,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,1815 Chronograph / Rattrapante / Annual Calendar,39.5–41.2,11–14.7,≈48–50,L951/L101/L051.3,15k_plus,insider_hype,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Zeitwerk,41.9,12.2,≈50,L043.6,15k_plus,insider_hype,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Datograph,41–41.5,13.1–14.7,≈50,L951/L952,15k_plus,insider_hype,набл.,active,a-lange-sohne.md
A. Lange & Söhne,8,Odysseus,40.5,11.1,≈47.5,L155.1,15k_plus,speculative_bubble,набл.,active,a-lange-sohne.md
Grand Seiko,9,Heritage quartz,37,10,44.6,9F62,2k_5k,evergreen,набл.,active,grand-seiko.md
Grand Seiko,9,Elegance hand-wound,37.3,11.6,44.3,9S64,2k_5k,evergreen,набл.,active,grand-seiko.md
Grand Seiko,9,Heritage 44GS mechanical/Spring Drive,36.5/40,11.6–12.3,42.7/46.2,9S64/9R65,5k_10k,evergreen,набл.,active,grand-seiko.md
Grand Seiko,9,Heritage 62GS,40,12.8,47,9R65,5k_10k,macro_trend,набл.,active,grand-seiko.md
Grand Seiko,9,Evolution 9 SLGH,40,11.7,47,9SA5,5k_10k,insider_hype,набл.,active,grand-seiko.md
Grand Seiko,9,Evolution 9 SLGA Spring Drive,40,11.8,47.9,9RA2,5k_10k,insider_hype,набл.,active,grand-seiko.md
Grand Seiko,9,Elegance Spring Drive,38.5,10.2,43.7,9R31,5k_10k,insider_hype,набл.,active,grand-seiko.md
Grand Seiko,9,Sport mechanical/GMT,40.5–44.2,13–14.4,48.6–50.6,9S66/9S86,5k_10k,contrarian,набл.,active,grand-seiko.md
Grand Seiko,9,Sport divers Spring Drive,43.8–44.2,14.7–14.8,50–51,9R65/9RA5,5k_10k,contrarian,набл.,active,grand-seiko.md
Grand Seiko,9,Evolution 9 Tentagraph/GMT,43.2–45.3,13.8–15.3,51.5–52.6,9SC5/9SA5,10k_15k,insider_hype,набл.,active,grand-seiko.md
Grand Seiko,9,Masterpiece/Kodo,43.8 и разные,"9,6 (https://www.grand-seiko.com/us-en/collections/sbgz011j); 12,9 (https://www.grand-seiko.com/uk-en/collections/slgt005g)","45,2 (https://www.grand-seiko.com/us-en/collections/sbgz011j); 50,6 (https://www.grand-seiko.com/uk-en/collections/slgt005g)",9R02/9ST1,15k_plus,insider_hype,смеш.,active,grand-seiko.md
IWC,10,Pilot’s Watch Automatic 36/40/41,36/40/41,10.5–11.4,≈46–51,35111/32111,5k_10k,evergreen,набл.,active,iwc-schaffhausen.md
IWC,10,Mark XX,40,10.8,49.2,32111,5k_10k,evergreen,набл.,active,iwc-schaffhausen.md
IWC,10,Pilot’s Chronograph 41/43,41/43,14.5/15.4,≈51.8/≈53,69385/69380,5k_10k,evergreen,набл.,active,iwc-schaffhausen.md
IWC,10,Big Pilot 43 / 46.2,43/46.2,13.6/15.6,≈52/57,82100/52110,5k_10k,contrarian,набл.,active,iwc-schaffhausen.md
IWC,10,Portugieser Automatic 40/42,40.4/42.4,12.3/13,≈48/50,82200/52011,5k_10k,evergreen,набл.,active,iwc-schaffhausen.md
IWC,10,Portugieser Chronograph,41,13.1,≈48.2,69355,5k_10k,evergreen,набл.,active,iwc-schaffhausen.md
IWC,10,Portofino Automatic / Chronograph,34/37/39/40/42,9.2–13.6,≈40–51,35100/32111/69355,5k_10k,contrarian,набл.,active,iwc-schaffhausen.md
IWC,10,Aquatimer,42–44,14.1–17,≈50–53,32111/89802,5k_10k,contrarian,набл.,active,iwc-schaffhausen.md
IWC,10,Ingenieur Automatic 40 / 35,40/35.1,10.7/9.4,45.7/≈41,32111/47110,10k_15k,insider_hype,набл.,active,iwc-schaffhausen.md
Breguet,11,Classique,38–40,5.4–9.9,≈44–48,502.3/777/502.3/502.3 QSE,15k_plus,evergreen,набл.,active,breguet.md
Breguet,11,Classique Chronométrie / Tourbillon,41–42,7.5–13,≈49–51,574DR/581/581DR,15k_plus,insider_hype,набл.,active,breguet.md
Breguet,11,Tradition,40–42.5,11.6–12.7,≈48–51,507DR/505SR/507F,15k_plus,insider_hype,набл.,active,breguet.md
Breguet,11,Marine,40/42.3,11.5–13.9,≈49–52,777A/582QA/519F,15k_plus,contrarian,набл.,active,breguet.md
Breguet,11,Type XX / Type 20,42,14.1,≈49.6,7281/728,15k_plus,macro_trend,набл.,active,breguet.md
Breguet,11,Reine de Naples,24.95×33 – 36.5×28.45,8.6–11.1,≈33–40,537/586/591A,15k_plus,evergreen,набл.,active,breguet.md
Breguet,11,Hora Mundi / Marine Tourbillon,43.9,13.8–14,≈53,77F1/581,15k_plus,insider_hype,набл.,active,breguet.md
Blancpain,12,Fifty Fathoms Bathyscaphe,38/43,10.8/13.4,≈44/≈49,1150/1315,10k_15k,contrarian,набл.,active,blancpain.md
Blancpain,12,Villeret Ultraplate,29.2/38/40,8.35–8.55,≈35–46,913/1151,10k_15k,contrarian,набл.,active,blancpain.md
Blancpain,12,Fifty Fathoms Automatique,45,15.4,≈50.6,1315,15k_plus,evergreen,набл.,active,blancpain.md
Blancpain,12,Fifty Fathoms 42.3,42.3,14.3,≈47,1315,15k_plus,insider_hype,набл.,active,blancpain.md
Blancpain,12,Bathyscaphe Chronographe / Quantième,43,13.4–15.25,≈49,F385/6654.P,15k_plus,contrarian,набл.,active,blancpain.md
Blancpain,12,Air Command,42.5,13.8,≈49,F388B,15k_plus,insider_hype,набл.,active,blancpain.md
Blancpain,12,Villeret Quantième Complet,38/40,10.45–10.9,≈44–47,6763/6654.4,15k_plus,evergreen,набл.,active,blancpain.md
Blancpain,12,Villeret Carrousel / Tourbillon,42–45,≈11–16,≈50–54,2322/25A,15k_plus,insider_hype,оц.класс,active,blancpain.md
Breitling,13,Navitimer Automatic / GMT,32/36/41,≈8–11.65,≈37–48,кварц/17/32,2k_5k,evergreen,набл.,active,breitling.md
Breitling,13,Superocean Automatic,36/42/44/46,12.2–13.2,≈43–52,17,2k_5k,evergreen,набл.,active,breitling.md
Breitling,13,Avenger,42/44/46,12.1–15.2,≈51–55,17/B01,2k_5k,contrarian,набл.,active,breitling.md
Breitling,13,Professional Endurance / Aerospace / Emergency,44–51,12.5–21.6,≈52–61,SuperQuartz 82/79/76,2k_5k,contrarian,набл.,active,breitling.md
Breitling,13,Navitimer B01 Chronograph,41/43/46,13.6–13.95,≈47–54,B01,5k_10k,evergreen,набл.,active,breitling.md
Breitling,13,Chronomat Automatic GMT,36/40,10–11.77,≈43–47,10/32,5k_10k,macro_trend,набл.,active,breitling.md
Breitling,13,Chronomat B01 Chronograph,42/44,15.1–16.95,≈50–53,B01/B04,5k_10k,evergreen,набл.,active,breitling.md
Breitling,13,Superocean Heritage,40/42/44/46,11.8–15.7,≈48–54,B20/B01,5k_10k,evergreen,набл.,active,breitling.md
Breitling,13,Premier,40/42,11.4–13.65,≈47–50,B09/B01/B25,5k_10k,insider_hype,набл.,active,breitling.md
Breitling,13,Top Time,38/41,10.3–13.3,≈45–50,B31/B01,5k_10k,macro_trend,набл.,active,breitling.md
Zenith,14,Chronomaster Revival,37,12.6,≈47,El Primero 400,5k_10k,insider_hype,набл.,active,zenith.md
Zenith,14,Defy Skyline,36/41,10.35/12,≈41–47,Elite 670 / El Primero 3620,5k_10k,macro_trend,набл.,active,zenith.md
Zenith,14,Defy Classic / Revival,37–41,≈10.3–10.8,≈44–47,Elite 670,5k_10k,contrarian,набл.,active,zenith.md
Zenith,14,Pilot Big Date Flyback / Automatic,40/42.5,12.9/14.25,≈49/≈52,Elite 3620/3652,5k_10k,insider_hype,набл.,active,zenith.md
Zenith,14,Chronomaster Original,38,12.6,46,El Primero 3600,10k_15k,evergreen,набл.,active,zenith.md
Zenith,14,Chronomaster Sport,41,13.6,46.8,El Primero 3600,10k_15k,macro_trend,набл.,active,zenith.md
Zenith,14,Defy Skyline Chronograph,42,12.7,≈47,El Primero 3600,10k_15k,insider_hype,набл.,active,zenith.md
Zenith,14,Defy Extreme,45,15.4,≈51,El Primero 9004,15k_plus,contrarian,набл.,active,zenith.md
Zenith,14,Defy Zero G / Double Tourbillon / GFJ,39–46,≈12–16,≈47–53,мануфактурные сложные,15k_plus,insider_hype,оц.класс,active,zenith.md
Chopard,15,Mille Miglia Classic / GTS,40.5–44,12.9–13.8,≈49–52,ETA-based / 01.08-C,5k_10k,contrarian,набл.,active,chopard.md
Chopard,15,Happy Sport,25/30/33/36/40,≈8–13,≈30–48,кварц/09.01-C,5k_10k,evergreen,набл.,active,chopard.md
Chopard,15,Imperiale,29/36/40,≈8–10.5,≈34–47,кварц/09.01-C,5k_10k,contrarian,набл.,active,chopard.md
Chopard,15,Alpine Eagle,33/36/41,8–9.7,≈39–47,09.01-C/09.01-C/01.01-C,10k_15k,insider_hype,набл.,active,chopard.md
Chopard,15,L.U.C XPS,40,7.2,≈48,96.12-L,10k_15k,evergreen,набл.,active,chopard.md
Chopard,15,Alpine Eagle XL Chrono,44,13.2,≈53,03.05-C,15k_plus,contrarian,набл.,active,chopard.md
Chopard,15,Alpine Eagle Cadence / XPS,41,8–9.7,≈47,01.12-C/L.U.C 96.40-L,15k_plus,insider_hype,набл.,active,chopard.md
Chopard,15,L.U.C Quattro,43,8.9,≈50,98.01-L,15k_plus,insider_hype,набл.,active,chopard.md
Chopard,15,L.U.C Full Strike / Perpetual / Chrono One,42–45,≈11.5–14,≈50–53,мануфактурные L.U.C,15k_plus,insider_hype,оц.класс,active,chopard.md
Tudor,16,Black Bay 58,39,11.9,≈47.5,MT5402,2k_5k,evergreen,набл.,active,tudor.md
Tudor,16,Black Bay 54,37,11.2,≈46,MT5400,2k_5k,macro_trend,набл.,active,tudor.md
Tudor,16,Black Bay 41 Monochrome,41,13.6,≈50,MT5602-U,2k_5k,macro_trend,набл.,active,tudor.md
Tudor,16,Pelagos FXD,42,12.75,≈52,MT5602,2k_5k,insider_hype,набл.,active,tudor.md
Tudor,16,Black Bay GMT,41,14.6,≈50,MT5652,2k_5k,evergreen,набл.,active,tudor.md
Tudor,16,Ranger,39,12.0,≈47,MT5402,2k_5k,contrarian,набл.,active,tudor.md
Tudor,16,Royal 38/41,38/41,10.4/11.2,≈45/49,T601/T603,2k_5k,contrarian,набл.,active,tudor.md
Tudor,16,1926 36/39/41,36/39/41,9.2–9.3,≈43/46/49,T601/T603,2k_5k,contrarian,набл.,active,tudor.md
Tudor,16,Pelagos 39,39,11.8,≈47,MT5400,5k_10k,macro_trend,набл.,active,tudor.md
Tudor,16,Black Bay Chrono,41,14.4,≈50,MT5813,5k_10k,evergreen,набл.,active,tudor.md
TAG Heuer,17,Formula 1 Solargraph 38,38,≈9.9,≈45.2,TH50-00 solar quartz,1k_2k,macro_trend,набл.,active,tag-heuer.md
TAG Heuer,17,Formula 1 Chronograph 43,43,12.4,≈49.5,quartz,1k_2k,evergreen,набл.,active,tag-heuer.md
TAG Heuer,17,Carrera Date 36,36,10.2,≈41.5,Calibre 7,2k_5k,macro_trend,набл.,active,tag-heuer.md
TAG Heuer,17,Aquaracer Professional 300 Date,42,12.0,≈48,TH31-00,2k_5k,evergreen,набл.,active,tag-heuer.md
TAG Heuer,17,Aquaracer Professional 200 Date 40,40,11.0,≈46,Calibre 5,2k_5k,evergreen,набл.,active,tag-heuer.md
TAG Heuer,17,Connected Calibre E4 45,45,15.3,≈50,цифровая платформа,2k_5k,macro_trend,набл.,active,tag-heuer.md
TAG Heuer,17,Carrera Chronograph Glassbox 39,39,13.9,≈46,TH20-00,5k_10k,macro_trend,набл.,active,tag-heuer.md
TAG Heuer,17,Carrera Chronograph 42,42,14.5,≈48.2,TH20-00/Heuer 02,5k_10k,evergreen,набл.,active,tag-heuer.md
TAG Heuer,17,Monaco Chronograph,39 (квадрат),15.2,≈47.4,TH20-00 / Calibre 11,5k_10k,evergreen,набл.,active,tag-heuer.md
TAG Heuer,17,Autavia Flyback Chronometer,42,15.7,≈50,Heuer 02 COSC,5k_10k,contrarian,набл.,active,tag-heuer.md
Panerai,18,Luminor Marina Quaranta,40,13.45,≈48,P.900,5k_10k,macro_trend,набл.,active,panerai.md
Panerai,18,Luminor Marina 44,44,15.65,≈53.5,P.9010,5k_10k,evergreen,набл.,active,panerai.md
Panerai,18,Luminor Base Logo,44,14.5,≈53.5,P.6000,5k_10k,evergreen,набл.,active,panerai.md
Panerai,18,Luminor Due 42,42,10.7,≈50,P.900,5k_10k,contrarian,набл.,active,panerai.md
Panerai,18,Radiomir Quaranta,40,10.15,≈47.5,P.900,5k_10k,macro_trend,набл.,active,panerai.md
Panerai,18,Radiomir 45 8 Days,45,14.25,≈52,P.5000,5k_10k,contrarian,набл.,active,panerai.md
Panerai,18,Submersible 42,42,13.2,≈50,P.900,5k_10k,evergreen,набл.,active,panerai.md
Panerai,18,Submersible QuarantaQuattro,44,13.35,≈52,P.900,10k_15k,evergreen,набл.,active,panerai.md
Panerai,18,Luminor Chrono,44,15.65,≈53.5,P.9200,10k_15k,contrarian,набл.,active,panerai.md
Panerai,18,Submersible S BRABUS eTitanio,47,16.95,≈57,P.4001/S,15k_plus,insider_hype,смеш.,active,panerai.md
Hublot,19,Classic Fusion Titanium 42,42,10.4,≈50,HUB1110,5k_10k,evergreen,набл.,active,hublot.md
Hublot,19,Classic Fusion Titanium 45,45,10.95,≈53,HUB1112,5k_10k,evergreen,набл.,active,hublot.md
Hublot,19,Big Bang Original 44,44,14.5,≈51,HUB4100,10k_15k,contrarian,набл.,active,hublot.md
Hublot,19,Classic Fusion Chronograph 42,42,11.9,≈50,HUB1153,10k_15k,contrarian,набл.,active,hublot.md
Hublot,19,Big Bang Unico 42,42,14.5,≈51,HUB1280 Unico 2,15k_plus,evergreen,набл.,active,hublot.md
Hublot,19,Big Bang Unico 44,44,14.5,≈52,HUB1280,15k_plus,evergreen,набл.,active,hublot.md
Hublot,19,Spirit of Big Bang 42,42,14.1,≈51 (tonneau),HUB4700,15k_plus,contrarian,набл.,active,hublot.md
Hublot,19,Square Bang Unico 42,42,14.5,≈50 (квадрат),HUB1280,15k_plus,insider_hype,набл.,active,hublot.md
Hublot,19,Big Bang Meca-10 45,45,15.95,≈52,HUB1201,15k_plus,insider_hype,набл.,active,hublot.md
Hublot,19,MP-11 Power Reserve 14 Days,45,14.4,≈52,HUB9011,15k_plus,contrarian,набл.,active,hublot.md
Girard-Perregaux,20,1966 40,40,8.9,≈46.2,GP03300,5k_10k,contrarian,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Casquette 2.0,42.4×33.6,14.64,≈42.4,GP03980 quartz,5k_10k,insider_hype,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Laureato 42,42,10.68,≈48.4,GP01800,10k_15k,macro_trend,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Laureato 38,38,10.0,≈44.8,GP03300,10k_15k,macro_trend,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Vintage 1945 XXL,36.1×35.25,11.74,≈50,GP03300,10k_15k,contrarian,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Laureato 42 Chronograph,42,12.0,≈48.5,GP03300-0141,15k_plus,insider_hype,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Laureato 38 Copper,38,10.0,≈44.8,GP03300,15k_plus,insider_hype,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Laureato Absolute 8Tech,44,15.15,≈55,GP03300,15k_plus,contrarian,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Free Bridge,44,12.2,≈51,GP01800,15k_plus,contrarian,набл.,active,girard-perregaux.md
Girard-Perregaux,20,Tourbillon with Three Flying Bridges,44,15.35,≈52,GP09400,15k_plus,insider_hype,смеш.,active,girard-perregaux.md
